,MUNICIPIO,Total_Alunos,Total_Inclusao_Digital,Taxa_Inclusao_Digital,Internet,Taxa_Internet,Computador,Taxa_Computador,Nota_Redacao,Nota_CH,Nota_Mat,Nota_LC,Nota_CN,Nota_Media_Geral,Baixa_Estrutura,Alta_Estrutura,Taxa_Alunos,IDEB19,z_score_nota,z_score_IDEB19
0,Abaiara,86,2,0.023255813953488372,4,0.046511627906976744,3,0.03488372093023256,686.2790697674419,456.76976744186044,464.3790697674418,476.65000000000003,425.0755813953488,501.8306976744186,86,0,0.0003879903453565225,4.3,0.6985490702753059,-0.23511816726519708
1,Acarape,500,123,0.246,306,0.612,134,0.268,565.84,475.31620000000004,493.5262,495.836,444.074,494.91848,89,0,0.002255757821840247,4.3,0.4294973746926156,-0.23511816726519708
2,Acaraú,1159,215,0.18550474547023296,658,0.5677308024158757,223,0.19240724762726488,577.8084555651424,487.00974978429684,511.95772217428816,505.2360655737705,457.0458153580673,507.811561691113,619,12,0.005228846631025693,4.583333333333333,0.9313486840224917,0.4786501302190944
3,Acopiara,1026,215,0.20955165692007796,397,0.38693957115009747,237,0.2309941520467836,542.6120857699805,481.87134502923976,499.14736842105265,497.8554580896686,448.8695906432749,494.0711695906433,510,1,0.004628815050416187,4.8999999999999995,0.39651659875930384,1.2763911685838905
4,Aiuaba,148,25,0.16891891891891891,58,0.3918918918918919,28,0.1891891891891892,499.86486486486484,468.31216216216217,490.6932432432433,486.79189189189185,437.9385135135135,476.72013513513514,148,0,0.0006677043152647132,4.1,-0.27885640890003577,-0.738954612548227
5,Alcântaras,96,25,0.2604166666666667,67,0.6979166666666666,29,0.3020833333333333,486.4583333333333,460.5541666666666,478.68125000000003,474.21875,428.0708333333334,465.59666666666664,96,0,0.00043310550179332747,4.0,-0.7118271562302345,-0.9908728351897408
6,Altaneira,47,0,0.0,0,0.0,0,0.0,327.6595744680851,430.29148936170213,436.27021276595747,435.25957446808513,414.21276595744683,408.7387234042553,47,0,0.00021204123525298324,3.5,-2.924970139083827,-2.2504639483973143
7,Alto Santo,295,54,0.18305084745762712,194,0.6576271186440678,55,0.1864406779661017,528.542372881356,473.76983050847457,493.3020338983051,497.76813559322034,443.93728813559323,487.4639322033899,110,0,0.0013308971148857458,3.7,0.13933597947167545,-1.7466275031142846
8,Amontada,910,177,0.1945054945054945,378,0.4153846153846154,191,0.2098901098901099,525.934065934066,471.02395604395605,494.02000000000004,484.7901098901099,446.7653846153846,484.5067032967033,485,0,0.0041054792357492495,4.699999999999999,0.02422857269616447,0.7725547233008605
9,Antonina do Norte,69,13,0.18840579710144928,55,0.7971014492753623,13,0.18840579710144928,381.4492753623188,450.1666666666667,463.76521739130436,461.9724637681159,414.24202898550726,434.3191304347826,69,0,0.00031129457941395414,4.0,-1.9292763965777209,-0.9908728351897408
10,Apuiarés,129,8,0.06201550387596899,61,0.4728682170542636,8,0.06201550387596899,463.72093023255815,454.7674418604651,464.2170542635659,473.89302325581394,433.7984496124031,458.07937984496124,129,0,0.0005819855180347838,4.5,-1.004430610118333,0.2687182780178329
11,Aquiraz,1434,395,0.2754532775453278,925,0.6450488145048815,420,0.2928870292887029,570.9344490934449,493.90788005578804,506.93898186889817,510.52092050209205,460.37698744769875,508.5358437935844,717,17,0.006469513433037829,4.262499999999999,0.9595406966194483,-0.3295875007557664
12,Aracati,1900,547,0.28789473684210526,1154,0.6073684210526316,589,0.31,556.6526315789474,493.1545789473684,508.5957894736842,512.6135789473684,458.89415789473685,505.982147368421,665,142,0.008571879722992939,4.7,0.8601404193775359,0.7725547233008628
13,Aracoiaba,1107,247,0.22312556458897922,572,0.5167118337850045,268,0.24209575429087624,537.3261065943992,475.1859981933153,488.03730803974713,493.9467028003613,444.5361336946703,487.80644986449863,447,0,0.0049942478175543075,4.7,0.15266816341451864,0.7725547233008628
14,Ararendá,122,27,0.22131147540983606,96,0.7868852459016393,29,0.23770491803278687,433.11475409836066,452.5409836065574,473.93688524590164,467.48606557377053,431.9909836065574,451.81393442622954,122,0,0.0005504049085290204,5.6,-1.2483072923775251,3.0398187270744943
15,Araripe,615,163,0.26504065040650404,346,0.5626016260162602,183,0.2975609756097561,600.4552845528456,487.9014634146342,505.87772357723577,500.4055284552846,454.29951219512196,509.7879024390244,252,0,0.002774582120863504,4.7,1.008275924210922,0.7725547233008628
16,Aratuba,416,70,0.16826923076923078,220,0.5288461538461539,76,0.18269230769230768,478.125,464.4728365384616,482.14278846153843,485.89326923076925,444.00625,470.92802884615384,164,0,0.0018767905077710857,3.9,-0.5043088022488397,-1.2427910578312558
17,Arneiroz,70,14,0.2,30,0.42857142857142855,15,0.21428571428571427,512.2857142857143,460.3857142857143,474.86285714285714,482.90714285714284,451.5957142857143,476.4074285714285,70,0,0.00031580609505763463,4.6,-0.29102822338100565,0.5206365006593467
18,Assaré,765,215,0.28104575163398693,428,0.5594771241830065,230,0.3006535947712418,547.6601307189543,477.97633986928105,502.25202614379083,493.91934640522874,448.6094117647059,494.0834509803922,290,0,0.003451309467415578,4.5,0.3969946405241448,0.2687182780178329
19,Aurora,708,204,0.288135593220339,430,0.6073446327683616,223,0.3149717514124294,573.2203389830509,480.91567796610167,498.8761299435028,494.03502824858754,451.7132768361582,499.7520903954802,233,0,0.00319415307572579,4.95,0.6176411997204421,1.4023502799046497
20,Baixio,68,19,0.27941176470588236,47,0.6911764705882353,20,0.29411764705882354,425.88235294117646,447.7691176470588,470.2,459.38676470588234,425.5382352941176,445.75529411764705,68,0,0.0003067830637702736,3.9,-1.4841342765279995,-1.2427910578312558
21,Banabuiú,326,84,0.25766871165644173,222,0.6809815950920245,89,0.27300613496932513,533.4355828220858,478.5003067484663,482.37177914110435,494.79570552147237,440.45920245398776,485.9125153374234,136,0,0.0014707540998398412,3.9,0.07894850934198426,-1.2427910578312558
22,Barbalha,1814,832,0.45865490628445427,1403,0.7734288864388092,870,0.4796030871003308,587.6074972436604,495.6310915104741,514.2907938257994,511.8562844542448,473.0309261300992,516.4833186328556,570,26,0.008183889377636417,4.375,1.2688888221885017,-0.046179500284060565
23,Barreira,450,102,0.22666666666666666,273,0.6066666666666667,111,0.24666666666666667,539.9111111111112,480.27666666666664,494.408,500.9293333333334,446.9462222222222,492.4942666666667,135,0,0.0020301820396562225,3.6,0.3351371073356788,-1.9985457257557995
24,Barro,589,146,0.24787775891341257,363,0.6162988115449916,157,0.266553480475382,584.0747028862479,485.39371816638374,506.4076400679117,506.0809847198642,460.31103565365026,508.45361629881154,212,0,0.002657282714127811,4.7,0.9563400672506678,0.7725547233008628
25,Barroquinha,360,78,0.21666666666666667,238,0.6611111111111111,81,0.225,532.7222222222222,479.9825,480.87666666666667,491.05833333333334,442.6769444444445,485.4633333333333,198,0,0.001624145631724978,4.2,0.06146451425992446,-0.4870363899067109
26,Baturité,1428,311,0.21778711484593838,715,0.5007002801120448,338,0.23669467787114845,546.5826330532213,476.97282913165265,482.9828431372549,497.793487394958,449.42892156862746,490.75214285714287,259,0,0.006442444339175746,4.2,0.2673265453792679,-0.4870363899067109
27,Beberibe,1188,176,0.14814814814814814,551,0.46380471380471383,225,0.1893939393939394,527.7441077441077,480.0076599326599,495.81944444444446,499.8045454545455,453.34562289562285,491.3442760942761,629,0,0.005359680584692428,5.2,0.2903747853169607,2.0321458365084366
28,Bela Cruz,613,196,0.3197389885807504,474,0.7732463295269169,202,0.3295269168026101,581.4029363784665,491.4827079934748,526.7939641109299,507.9125611745514,464.8655791190864,514.4915497553018,342,2,0.0027655590895761433,5.066666666666666,1.1913610562881385,1.6962548729864158
29,Boa Viagem,1127,282,0.2502218278615794,690,0.6122448979591837,307,0.2724046140195209,517.9946761313221,476.79920141969825,495.2594498669033,493.9133984028394,445.2449866903283,485.84234250221823,511,3,0.0050844781304279175,4.75,0.07621709647492983,0.8985138346216197
30,Brejo Santo,1693,630,0.37212049616066156,1165,0.6881275841701122,666,0.39338452451269934,579.2793857058476,491.13295924394566,509.74300059066746,507.26940342587125,464.5861193148258,510.4021736562315,419,54,0.007637995984751077,4.433333333333334,1.032185864597909,0.10077279625682363
31,Camocim,1488,385,0.25873655913978494,918,0.6169354838709677,415,0.27889784946236557,531.5188172043011,492.16599462365593,516.5268817204301,510.5736559139785,461.06619623655916,502.370309139785,644,0,0.006713135277796576,4.583333333333333,0.7195529487049434,0.4786501302190944
32,Campos Sales,815,227,0.2785276073619632,455,0.558282208588957,247,0.3030674846625767,579.9754601226994,481.28687116564413,495.34613496932513,500.0950920245399,449.2161963190184,501.18395092024537,349,0,0.003676885249599603,5.1,0.6733750495746992,1.7802276138669204
