,MUNICIPIO,Nota_Redacao,Nota_CH,Nota_Mat,Nota_LC,Nota_CN,Nota_Media_Geral,Total_Inclusao_Digital,Taxa_Inclusao_Digital,Internet,Taxa_Internet,Computador,Taxa_Computador,Total_Alunos,Baixa_Estrutura,Alta_Estrutura,Taxa_Alunos,IDEB23,z_score_nota,z_score_IDEB23
0,Fortaleza,652.8841723630046,537.0333566222289,559.5189610848362,530.3826976094263,507.4690601880016,560.2225691153238,32283,0.434062978998037,66281,0.8911850915642563,32646,0.43894371689031114,74374,21807,5827,0.30679685340791435,4.398026315789475,2.122843912558501,-0.35451848394230523
1,Eusébio,638.6963434022258,525.4094594594594,547.209304274937,523.0166931637519,493.6170159262364,550.1032687447346,780,0.420032310177706,1790,0.9639203015616586,788,0.4243403338718363,1857,805,46,0.007660227455542218,4.7,1.7911131421242035,0.3517468078762923
2,Juazeiro do Norte,657.3865047605906,526.9898440734097,547.8481455064194,521.0314198978888,500.7772753209701,553.4225211530188,4033,0.40528590091448097,9068,0.9112651994774394,4088,0.4108129836197367,9951,2590,471,0.0410484240226713,4.725,1.8999248305158492,0.41021757277630594
3,Limoeiro do Norte,673.1088082901555,525.4869170984456,550.9567892976589,521.7891839378239,498.48033444816053,556.859530516432,811,0.3985257985257985,1881,0.9243243243243243,822,0.4039312039312039,2035,356,158,0.00839448727626732,4.85,2.012596825847533,0.7025713972763803
4,Sobral,653.2374848432357,523.0773774467349,557.019438483548,516.1194699463018,496.9835121602289,552.3257925072046,2953,0.3886037636531123,7023,0.9242005527043032,2976,0.3916304776944335,7599,2294,487,0.03134629425668568,5.047058823529412,1.863971886605743,1.163458602958851
5,Crato,653.8420526491169,525.9418860379874,536.3538699690403,519.0651782739087,500.8760921912625,549.3922141623489,1655,0.38283599352301645,3962,0.9164931760351608,1669,0.38607448531112654,4323,1388,189,0.017832613511205714,4.3,1.7678033602423249,-0.5837854305239465
6,Barbalha,623.8388923851479,513.6916928886092,522.4366645035691,508.7291378225299,490.38377676833227,533.6091015625,740,0.3435468895078923,1924,0.89322191272052,742,0.34447539461467036,2154,532,43,0.00888536884180826,4.4,1.250401572484714,-0.34990237092388576
7,Iguatu,634.1613198900092,514.4362511457379,531.2460227272728,509.36622364802935,487.23726325757576,537.3934189253448,915,0.3327272727272727,2449,0.8905454545454545,929,0.3378181818181818,2750,855,174,0.011343901724685568,4.8,1.3744590140439175,0.5856298674763509
8,Russas,634.8408163265306,519.8757551020409,549.6184210526316,517.9137959183673,491.09312393887944,544.9945609548167,524,0.30465116279069765,1563,0.9087209302325582,534,0.31046511627906975,1720,751,36,0.007095094896894246,5.175,1.6236395511634425,1.462691340976574
9,São João do Jaguaribe,554.0,483.51000000000005,501.83500000000004,497.6,467.88500000000005,500.966,7,0.30434782608695654,23,1.0,7,0.30434782608695654,23,23,0,9.487626897009747e-05,4.8,0.18029585033758522,0.5856298674763509
