,MUNICIPIO,Nota_Redacao,Nota_CH,Nota_Mat,Nota_LC,Nota_CN,Nota_Media_Geral,Total_Alunos,Total_Inclusao_Digital,Taxa_Inclusao_Digital,Total_Internet,Taxa_Internet,Total_Computador,Taxa_Computador,Taxa_Alunos
0,Fortaleza,668.4567785486593,531.1577423588974,555.2225145321582,537.9991374460903,508.3548190511907,560.2381983873993,73356,34070,0.4644473526364578,63061,0.8596570151044223,34719,0.4732946180271552,0.2927132921267163
1,Eusébio,666.7405475880053,525.5073663624512,559.5251629726206,538.279595827901,507.75567144719685,559.5616688396349,2185,1105,0.505720823798627,2033,0.9304347826086956,1123,0.5139588100686499,0.008718830679111118
2,Sobral,655.8981925488749,519.1522316488381,557.9910734046478,528.5405385466618,497.09749170047957,551.7359055699004,7187,2965,0.4125504382913594,6438,0.8957840545429248,3006,0.41825518296925,0.028678368920261606
3,Juazeiro do Norte,665.6482670089858,520.1047354157752,543.445999144202,530.034189131365,497.46866352874054,551.3403708458137,9849,4205,0.42694689816224995,8610,0.8742004264392325,4288,0.43537414965986393,0.039300578196139774
4,Limoeiro do Norte,668.7513812154696,514.498729281768,541.8258563535912,524.1518784530386,497.044861878453,549.254541436464,2389,963,0.4030975303474257,2129,0.8911678526580159,981,0.4106320636249477,0.00953285422992973
5,Cruz,676.936936936937,508.05472972972973,552.2515765765766,518.2772522522523,488.0885135135135,548.7218018018018,530,110,0.20754716981132076,468,0.8830188679245283,110,0.20754716981132076,0.002114865107518944
6,Crato,663.1419558359621,515.5349842271293,532.0758675078864,527.1548895899053,494.0276656151419,546.387072555205,4294,1727,0.4021891010712622,3891,0.9061481136469492,1765,0.4110386585933861,0.017134397682427065
7,Hidrolândia,705.8737864077669,493.28470873786404,525.4283980582525,511.7334951456311,483.6043689320388,543.9849514563107,509,133,0.26129666011787817,455,0.8939096267190569,134,0.2632612966601179,0.00203106856552291
8,Barbalha,653.2263814616756,509.21711229946527,533.786274509804,520.6175282234107,494.1398692810458,542.1974331550803,2330,881,0.3781115879828326,2010,0.8626609442060086,897,0.3849785407725322,0.009297425850036112
9,Russas,630.0600858369098,516.1770815450644,546.0145922746781,524.1325321888412,492.1065236051502,541.6981630901288,1750,604,0.34514285714285714,1564,0.8937142857142857,616,0.352,0.006983045166336136
10,Bela Cruz,661.1065573770492,492.7467213114754,532.0663934426229,513.1411885245901,478.39446721311475,535.4910655737705,592,142,0.23986486486486486,440,0.7432432432432432,148,0.25,0.002362264421983424
11,Morada Nova,663.6018957345972,494.9821800947867,525.9539336492891,511.99516587677726,477.55308056872036,534.817251184834,1400,392,0.28,1208,0.8628571428571429,404,0.2885714285714286,0.0055864361330689085
12,Jijoca de Jericoacoara,664.8086124401914,485.43504784689,539.836961722488,506.78062200956936,474.816985645933,534.3356459330143,1066,261,0.2448405253283302,902,0.8461538461538461,265,0.24859287054409004,0.004253672084179612
13,Crateús,658.8366211431462,500.5692463328275,518.8942336874052,512.1899848254932,478.25543753161355,533.7491047040971,2626,789,0.30045696877380046,2188,0.8332063975628332,809,0.3080731150038081,0.010478558061027824
14,Barro,664.7433628318585,496.8001769911504,517.4546902654868,510.8642477876106,472.146017699115,532.4016991150443,715,160,0.22377622377622378,581,0.8125874125874126,163,0.22797202797202798,0.002853072739388764
15,Acaraú,683.0324276950043,479.4780017528484,521.7606485539001,499.14601226993864,473.46003505696757,531.3754250657317,1445,233,0.16124567474048443,1070,0.740484429065744,237,0.16401384083044981,0.005766000151631838
16,Aurora,672.2242314647378,490.0632911392405,516.1985533453887,505.0506329113924,470.11157323688974,530.7296564195299,739,151,0.20433017591339647,588,0.7956698240866035,156,0.21109607577807848,0.0029488402159556595
17,Varjota,637.1845949535193,492.6613545816733,532.579150066401,508.7950863213812,480.9907038512616,530.4421779548474,929,238,0.25618945102260493,829,0.8923573735199138,243,0.26157158234660927,0.003706999405443583
18,Iguatu,629.0047770700637,499.7632961783439,524.6322452229299,515.1378184713376,481.97925955414007,530.103479299363,3246,1012,0.31176833025261863,2645,0.814849044978435,1033,0.318237831176833,0.012952551205672626
19,Mulungu,657.6,496.3816,508.3908,508.9208,475.6952,529.39768,315,42,0.13333333333333333,174,0.5523809523809524,42,0.13333333333333333,0.0012569481299405045
20,Tabuleiro do Norte,626.7801418439716,495.5062411347518,525.941560283688,516.285390070922,479.56510638297874,528.8156879432624,903,298,0.3300110741971207,797,0.8826135105204873,306,0.3388704318936877,0.003603251305829446
21,Caririaçu,649.047619047619,493.58318452380956,520.2315476190475,507.29672619047625,473.6919642857143,528.7702083333334,902,189,0.20953436807095344,630,0.6984478935698448,195,0.21618625277161863,0.0035992609943058256
22,Cariré,624.2490842490843,493.0656898656899,531.229304029304,512.9504273504274,480.2811965811966,528.3551404151405,1028,208,0.20233463035019456,942,0.9163424124513618,211,0.20525291828793774,0.004102040246282027
